Capture,Specimen,Stream,Environment,Length,Weight,Development
SD0382901,SD03829,Erlan,High,61,4.1,Adult
SD0383001,SD03830,Erlan,High,56,4.2,Adult
SD0383101,SD03831,Erlan,High,63,4.8,Adult
SD0383201,SD03832,Erlan,High,66,4.8,Adult
SD0383301,SD03833,Erlan,High,58,4.5,Adult
SD0383401,SD03834,Erlan,High,68,5,Adult
SD0383501,SD03835,Erlan,High,57,4.8,Adult
SD0383601,SD03836,Erlan,High,56,4.2,Adult
SD0383701,SD03837,Goizueta,Low,55,5.1,Adult
SD0383801,SD03838,Goizueta,Low,61,4.6,Adult
SD0383901,SD03839,Goizueta,Low,46,4,Adult
SD0384001,SD03840,Goizueta,Low,68,4.8,Adult
SD0384101,SD03841,Goizueta,Low,49,4.8,Adult
SD0384201,SD03842,Goizueta,Low,58,4.9,Adult
SD0384301,SD03843,Goizueta,Low,59,5,Adult
SD0384401,SD03844,Goizueta,Low,61,4.6,Adult
SD0384501,SD03845,Goizueta,Low,60,5.3,Adult
SD0384601,SD03846,Harpea,High,59,4.5,Adult
SD0384701,SD03847,Harpea,High,61,4.7,Adult
SD0384801,SD03848,Harpea,High,59,4.4,Adult
SD0384901,SD03849,Harpea,High,64,5.2,Adult
SD0385001,SD03850,Harpea,High,52,5.3,Adult
SD0385101,SD03851,Harpea,High,60,4.3,Adult
SD0385201,SD03852,Harpea,High,60,5,Adult
SD0385301,SD03853,Leitzaran,Low,60,4.4,Adult
SD0385401,SD03854,Leitzaran,Low,51,4.2,Adult
SD0385501,SD03855,Leitzaran,Low,57,4.5,Adult
SD0385601,SD03856,Leitzaran,Low,58,4.1,Adult
SD0385701,SD03857,Leitzaran,Low,49,3.4,Adult
SD0385801,SD03858,Leitzaran,Low,53,4,Adult
SD0385901,SD03859,Leitzaran,Low,56,4.7,Adult